dni,nombre,cuenta,moneda,monto,bic,concepto,cargos
10000076,BENEFICIARIO 00076,001000000076,PEN,65.98,BCPLPEPLXXX,PAGO PROVEEDOR 00076,OUR
10000077,BENEFICIARIO 00077,001000000077,PEN,66.71,BINPPEPLXXX,PAGO PROVEEDOR 00077,BEN
10000078,BENEFICIARIO 00078,001000000078,PEN,67.44,SCBLPEPLXXX,PAGO PROVEEDOR 00078,SHA
10000079,BENEFICIARIO 00079,001000000079,PEN,68.17,CITIPEPLXXX,PAGO PROVEEDOR 00079,OUR
10000080,BENEFICIARIO 00080,001000000080,USD,68.90,BCPLPEPLXXX,PAGO PROVEEDOR 00080,BEN
10000081,BENEFICIARIO 00081,001000000081,PEN,69.63,BINPPEPLXXX,PAGO PROVEEDOR 00081,SHA
10000082,BENEFICIARIO 00082,001000000082,PEN,70.36,SCBLPEPLXXX,PAGO PROVEEDOR 00082,OUR
10000083,BENEFICIARIO 00083,001000000083,PEN,71.09,CITIPEPLXXX,PAGO PROVEEDOR 00083,BEN
10000084,BENEFICIARIO 00084,001000000084,PEN,71.82,BCPLPEPLXXX,PAGO PROVEEDOR 00084,SHA
10000085,BENEFICIARIO 00085,001000000085,USD,72.55,BINPPEPLXXX,PAGO PROVEEDOR 00085,OUR
10000086,BENEFICIARIO 00086,001000000086,PEN,73.28,SCBLPEPLXXX,PAGO PROVEEDOR 00086,BEN
10000087,BENEFICIARIO 00087,001000000087,PEN,74.01,CITIPEPLXXX,PAGO PROVEEDOR 00087,SHA
10000088,BENEFICIARIO 00088,001000000088,PEN,74.74,BCPLPEPLXXX,PAGO PROVEEDOR 00088,OUR
10000089,BENEFICIARIO 00089,001000000089,PEN,75.47,BINPPEPLXXX,PAGO PROVEEDOR 00089,BEN
10000090,BENEFICIARIO 00090,001000000090,USD,76.20,SCBLPEPLXXX,PAGO PROVEEDOR 00090,SHA
10000091,BENEFICIARIO 00091,001000000091,PEN,76.93,CITIPEPLXXX,PAGO PROVEEDOR 00091,OUR
10000092,BENEFICIARIO 00092,001000000092,PEN,77.66,BCPLPEPLXXX,PAGO PROVEEDOR 00092,BEN
10000093,BENEFICIARIO 00093,001000000093,PEN,78.39,BINPPEPLXXX,PAGO PROVEEDOR 00093,SHA
10000094,BENEFICIARIO 00094,001000000094,PEN,79.12,SCBLPEPLXXX,PAGO PROVEEDOR 00094,OUR
10000095,BENEFICIARIO 00095,001000000095,USD,79.85,CITIPEPLXXX,PAGO PROVEEDOR 00095,BEN
10000096,BENEFICIARIO 00096,001000000096,PEN,80.58,BCPLPEPLXXX,PAGO PROVEEDOR 00096,SHA
10000097,BENEFICIARIO 00097,001000000097,PEN,81.31,BINPPEPLXXX,PAGO PROVEEDOR 00097,OUR
10000098,BENEFICIARIO 00098,001000000098,PEN,82.04,SCBLPEPLXXX,PAGO PROVEEDOR 00098,BEN
10000099,BENEFICIARIO 00099,001000000099,PEN,82.77,CITIPEPLXXX,PAGO PROVEEDOR 00099,SHA
10000100,BENEFICIARIO 00100,001000000100,USD,83.50,BCPLPEPLXXX,PAGO PROVEEDOR 00100,OUR
10000101,BENEFICIARIO 00101,001000000101,PEN,84.23,BINPPEPLXXX,PAGO PROVEEDOR 00101,BEN
10000102,BENEFICIARIO 00102,001000000102,PEN,84.96,SCBLPEPLXXX,PAGO PROVEEDOR 00102,SHA
10000103,BENEFICIARIO 00103,001000000103,PEN,85.69,CITIPEPLXXX,PAGO PROVEEDOR 00103,OUR
10000104,BENEFICIARIO 00104,001000000104,PEN,86.42,BCPLPEPLXXX,PAGO PROVEEDOR 00104,BEN
10000105,BENEFICIARIO 00105,001000000105,USD,87.15,BINPPEPLXXX,PAGO PROVEEDOR 00105,SHA
10000106,BENEFICIARIO 00106,001000000106,PEN,87.88,SCBLPEPLXXX,PAGO PROVEEDOR 00106,OUR
10000107,BENEFICIARIO 00107,001000000107,PEN,88.61,CITIPEPLXXX,PAGO PROVEEDOR 00107,BEN
10000108,BENEFICIARIO 00108,001000000108,PEN,89.34,BCPLPEPLXXX,PAGO PROVEEDOR 00108,SHA
10000109,BENEFICIARIO 00109,001000000109,PEN,90.07,BINPPEPLXXX,PAGO PROVEEDOR 00109,OUR
10000110,BENEFICIARIO 00110,001000000110,USD,90.80,SCBLPEPLXXX,PAGO PROVEEDOR 00110,BEN
10000111,BENEFICIARIO 00111,001000000111,PEN,91.53,CITIPEPLXXX,PAGO PROVEEDOR 00111,SHA
10000112,BENEFICIARIO 00112,001000000112,PEN,92.26,BCPLPEPLXXX,PAGO PROVEEDOR 00112,OUR
10000113,BENEFICIARIO 00113,001000000113,PEN,92.99,BINPPEPLXXX,PAGO PROVEEDOR 00113,BEN
10000114,BENEFICIARIO 00114,001000000114,PEN,93.72,SCBLPEPLXXX,PAGO PROVEEDOR 00114,SHA
10000115,BENEFICIARIO 00115,001000000115,USD,94.45,CITIPEPLXXX,PAGO PROVEEDOR 00115,OUR
10000116,BENEFICIARIO 00116,001000000116,PEN,95.18,BCPLPEPLXXX,PAGO PROVEEDOR 00116,BEN
10000117,BENEFICIARIO 00117,001000000117,PEN,95.91,BINPPEPLXXX,PAGO PROVEEDOR 00117,SHA
10000118,BENEFICIARIO 00118,001000000118,PEN,96.64,SCBLPEPLXXX,PAGO PROVEEDOR 00118,OUR
10000119,BENEFICIARIO 00119,001000000119,PEN,97.37,CITIPEPLXXX,PAGO PROVEEDOR 00119,BEN
10000120,BENEFICIARIO 00120,001000000120,USD,98.10,BCPLPEPLXXX,PAGO PROVEEDOR 00120,SHA
10000121,BENEFICIARIO 00121,001000000121,PEN,98.83,BINPPEPLXXX,PAGO PROVEEDOR 00121,OUR
10000122,BENEFICIARIO 00122,001000000122,PEN,99.56,SCBLPEPLXXX,PAGO PROVEEDOR 00122,BEN
10000123,BENEFICIARIO 00123,001000000123,PEN,100.29,CITIPEPLXXX,PAGO PROVEEDOR 00123,SHA
10000124,BENEFICIARIO 00124,001000000124,PEN,101.02,BCPLPEPLXXX,PAGO PROVEEDOR 00124,OUR
10000125,BENEFICIARIO 00125,001000000125,USD,101.75,BINPPEPLXXX,PAGO PROVEEDOR 00125,BEN
10000126,BENEFICIARIO 00126,001000000126,PEN,102.48,SCBLPEPLXXX,PAGO PROVEEDOR 00126,SHA
10000127,BENEFICIARIO 00127,001000000127,PEN,103.21,CITIPEPLXXX,PAGO PROVEEDOR 00127,OUR
10000128,BENEFICIARIO 00128,001000000128,PEN,103.94,BCPLPEPLXXX,PAGO PROVEEDOR 00128,BEN
10000129,BENEFICIARIO 00129,001000000129,PEN,104.67,BINPPEPLXXX,PAGO PROVEEDOR 00129,SHA
10000130,BENEFICIARIO 00130,001000000130,USD,105.40,SCBLPEPLXXX,PAGO PROVEEDOR 00130,OUR
10000131,BENEFICIARIO 00131,001000000131,PEN,106.13,CITIPEPLXXX,PAGO PROVEEDOR 00131,BEN
10000132,BENEFICIARIO 00132,001000000132,PEN,106.86,BCPLPEPLXXX,PAGO PROVEEDOR 00132,SHA
10000133,BENEFICIARIO 00133,001000000133,PEN,107.59,BINPPEPLXXX,PAGO PROVEEDOR 00133,OUR
10000134,BENEFICIARIO 00134,001000000134,PEN,108.32,SCBLPEPLXXX,PAGO PROVEEDOR 00134,BEN
10000135,BENEFICIARIO 00135,001000000135,USD,109.05,CITIPEPLXXX,PAGO PROVEEDOR 00135,SHA
10000136,BENEFICIARIO 00136,001000000136,PEN,109.78,BCPLPEPLXXX,PAGO PROVEEDOR 00136,OUR
10000137,BENEFICIARIO 00137,001000000137,PEN,110.51,BINPPEPLXXX,PAGO PROVEEDOR 00137,BEN
10000138,BENEFICIARIO 00138,001000000138,PEN,111.24,SCBLPEPLXXX,PAGO PROVEEDOR 00138,SHA
10000139,BENEFICIARIO 00139,001000000139,PEN,111.97,CITIPEPLXXX,PAGO PROVEEDOR 00139,OUR
10000140,BENEFICIARIO 00140,001000000140,USD,112.70,BCPLPEPLXXX,PAGO PROVEEDOR 00140,BEN
10000141,BENEFICIARIO 00141,001000000141,PEN,113.43,BINPPEPLXXX,PAGO PROVEEDOR 00141,SHA
10000142,BENEFICIARIO 00142,001000000142,PEN,114.16,SCBLPEPLXXX,PAGO PROVEEDOR 00142,OUR
10000143,BENEFICIARIO 00143,001000000143,PEN,114.89,CITIPEPLXXX,PAGO PROVEEDOR 00143,BEN
10000144,BENEFICIARIO 00144,001000000144,PEN,115.62,BCPLPEPLXXX,PAGO PROVEEDOR 00144,SHA
10000145,BENEFICIARIO 00145,001000000145,USD,116.35,BINPPEPLXXX,PAGO PROVEEDOR 00145,OUR
10000146,BENEFICIARIO 00146,001000000146,PEN,117.08,SCBLPEPLXXX,PAGO PROVEEDOR 00146,BEN
10000147,BENEFICIARIO 00147,001000000147,PEN,117.81,CITIPEPLXXX,PAGO PROVEEDOR 00147,SHA
10000148,BENEFICIARIO 00148,001000000148,PEN,118.54,BCPLPEPLXXX,PAGO PROVEEDOR 00148,OUR
10000149,BENEFICIARIO 00149,001000000149,PEN,119.27,BINPPEPLXXX,PAGO PROVEEDOR 00149,BEN
10000150,BENEFICIARIO 00150,001000000150,USD,120.00,SCBLPEPLXXX,PAGO PROVEEDOR 00150,SHA
10000151,BENEFICIARIO 00151,001000000151,PEN,120.73,CITIPEPLXXX,PAGO PROVEEDOR 00151,OUR
10000152,BENEFICIARIO 00152,001000000152,PEN,121.46,BCPLPEPLXXX,PAGO PROVEEDOR 00152,BEN
10000153,BENEFICIARIO 00153,001000000153,PEN,122.19,BINPPEPLXXX,PAGO PROVEEDOR 00153,SHA
10000154,BENEFICIARIO 00154,001000000154,PEN,122.92,SCBLPEPLXXX,PAGO PROVEEDOR 00154,OUR
10000155,BENEFICIARIO 00155,001000000155,USD,123.65,CITIPEPLXXX,PAGO PROVEEDOR 00155,BEN
10000156,BENEFICIARIO 00156,001000000156,PEN,124.38,BCPLPEPLXXX,PAGO PROVEEDOR 00156,SHA
10000157,BENEFICIARIO 00157,001000000157,PEN,125.11,BINPPEPLXXX,PAGO PROVEEDOR 00157,OUR
10000158,BENEFICIARIO 00158,001000000158,PEN,125.84,SCBLPEPLXXX,PAGO PROVEEDOR 00158,BEN
10000159,BENEFICIARIO 00159,001000000159,PEN,126.57,CITIPEPLXXX,PAGO PROVEEDOR 00159,SHA
10000160,BENEFICIARIO 00160,001000000160,USD,127.30,BCPLPEPLXXX,PAGO PROVEEDOR 00160,OUR
10000161,BENEFICIARIO 00161,001000000161,PEN,128.03,BINPPEPLXXX,PAGO PROVEEDOR 00161,BEN
10000162,BENEFICIARIO 00162,001000000162,PEN,128.76,SCBLPEPLXXX,PAGO PROVEEDOR 00162,SHA
10000163,BENEFICIARIO 00163,001000000163,PEN,129.49,CITIPEPLXXX,PAGO PROVEEDOR 00163,OUR
10000164,BENEFICIARIO 00164,001000000164,PEN,130.22,BCPLPEPLXXX,PAGO PROVEEDOR 00164,BEN
10000165,BENEFICIARIO 00165,001000000165,USD,130.95,BINPPEPLXXX,PAGO PROVEEDOR 00165,SHA
10000166,BENEFICIARIO 00166,001000000166,PEN,131.68,SCBLPEPLXXX,PAGO PROVEEDOR 00166,OUR
10000167,BENEFICIARIO 00167,001000000167,PEN,132.41,CITIPEPLXXX,PAGO PROVEEDOR 00167,BEN
10000168,BENEFICIARIO 00168,001000000168,PEN,133.14,BCPLPEPLXXX,PAGO PROVEEDOR 00168,SHA
10000169,BENEFICIARIO 00169,001000000169,PEN,133.87,BINPPEPLXXX,PAGO PROVEEDOR 00169,OUR
10000170,BENEFICIARIO 00170,001000000170,USD,134.60,SCBLPEPLXXX,PAGO PROVEEDOR 00170,BEN
10000171,BENEFICIARIO 00171,001000000171,PEN,135.33,CITIPEPLXXX,PAGO PROVEEDOR 00171,SHA
10000172,BENEFICIARIO 00172,001000000172,PEN,136.06,BCPLPEPLXXX,PAGO PROVEEDOR 00172,OUR
10000173,BENEFICIARIO 00173,001000000173,PEN,136.79,BINPPEPLXXX,PAGO PROVEEDOR 00173,BEN
10000174,BENEFICIARIO 00174,001000000174,PEN,137.52,SCBLPEPLXXX,PAGO PROVEEDOR 00174,SHA
10000175,BENEFICIARIO 00175,001000000175,USD,138.25,CITIPEPLXXX,PAGO PROVEEDOR 00175,OUR
10000176,BENEFICIARIO 00176,001000000176,PEN,138.98,BCPLPEPLXXX,PAGO PROVEEDOR 00176,BEN
10000177,BENEFICIARIO 00177,001000000177,PEN,139.71,BINPPEPLXXX,PAGO PROVEEDOR 00177,SHA
10000178,BENEFICIARIO 00178,001000000178,PEN,140.44,SCBLPEPLXXX,PAGO PROVEEDOR 00178,OUR
10000179,BENEFICIARIO 00179,001000000179,PEN,141.17,CITIPEPLXXX,PAGO PROVEEDOR 00179,BEN
10000180,BENEFICIARIO 00180,001000000180,USD,141.90,BCPLPEPLXXX,PAGO PROVEEDOR 00180,SHA
10000181,BENEFICIARIO 00181,001000000181,PEN,142.63,BINPPEPLXXX,PAGO PROVEEDOR 00181,OUR
10000182,BENEFICIARIO 00182,001000000182,PEN,143.36,SCBLPEPLXXX,PAGO PROVEEDOR 00182,BEN
10000183,BENEFICIARIO 00183,001000000183,PEN,144.09,CITIPEPLXXX,PAGO PROVEEDOR 00183,SHA
10000184,BENEFICIARIO 00184,001000000184,PEN,144.82,BCPLPEPLXXX,PAGO PROVEEDOR 00184,OUR
10000185,BENEFICIARIO 00185,001000000185,USD,145.55,BINPPEPLXXX,PAGO PROVEEDOR 00185,BEN
10000186,BENEFICIARIO 00186,001000000186,PEN,146.28,SCBLPEPLXXX,PAGO PROVEEDOR 00186,SHA
10000187,BENEFICIARIO 00187,001000000187,PEN,147.01,CITIPEPLXXX,PAGO PROVEEDOR 00187,OUR
10000188,BENEFICIARIO 00188,001000000188,PEN,147.74,BCPLPEPLXXX,PAGO PROVEEDOR 00188,BEN
10000189,BENEFICIARIO 00189,001000000189,PEN,148.47,BINPPEPLXXX,PAGO PROVEEDOR 00189,SHA
10000190,BENEFICIARIO 00190,001000000190,USD,149.20,SCBLPEPLXXX,PAGO PROVEEDOR 00190,OUR
10000191,BENEFICIARIO 00191,001000000191,PEN,149.93,CITIPEPLXXX,PAGO PROVEEDOR 00191,BEN
10000192,BENEFICIARIO 00192,001000000192,PEN,150.66,BCPLPEPLXXX,PAGO PROVEEDOR 00192,SHA
10000193,BENEFICIARIO 00193,001000000193,PEN,151.39,BINPPEPLXXX,PAGO PROVEEDOR 00193,OUR
10000194,BENEFICIARIO 00194,001000000194,PEN,152.12,SCBLPEPLXXX,PAGO PROVEEDOR 00194,BEN
10000195,BENEFICIARIO 00195,001000000195,USD,152.85,CITIPEPLXXX,PAGO PROVEEDOR 00195,SHA
10000196,BENEFICIARIO 00196,001000000196,PEN,153.58,BCPLPEPLXXX,PAGO PROVEEDOR 00196,OUR
10000197,BENEFICIARIO 00197,001000000197,PEN,154.31,BINPPEPLXXX,PAGO PROVEEDOR 00197,BEN
10000198,BENEFICIARIO 00198,001000000198,PEN,155.04,SCBLPEPLXXX,PAGO PROVEEDOR 00198,SHA
10000199,BENEFICIARIO 00199,001000000199,PEN,155.77,CITIPEPLXXX,PAGO PROVEEDOR 00199,OUR
10000200,BENEFICIARIO 00200,001000000200,USD,156.50,BCPLPEPLXXX,PAGO PROVEEDOR 00200,BEN
10000201,BENEFICIARIO 00201,001000000201,PEN,157.23,BINPPEPLXXX,PAGO PROVEEDOR 00201,SHA
10000202,BENEFICIARIO 00202,001000000202,PEN,157.96,SCBLPEPLXXX,PAGO PROVEEDOR 00202,OUR
10000203,BENEFICIARIO 00203,001000000203,PEN,158.69,CITIPEPLXXX,PAGO PROVEEDOR 00203,BEN
10000204,BENEFICIARIO 00204,001000000204,PEN,159.42,BCPLPEPLXXX,PAGO PROVEEDOR 00204,SHA
10000205,BENEFICIARIO 00205,001000000205,USD,160.15,BINPPEPLXXX,PAGO PROVEEDOR 00205,OUR
10000206,BENEFICIARIO 00206,001000000206,PEN,160.88,SCBLPEPLXXX,PAGO PROVEEDOR 00206,BEN
10000207,BENEFICIARIO 00207,001000000207,PEN,161.61,CITIPEPLXXX,PAGO PROVEEDOR 00207,SHA
10000208,BENEFICIARIO 00208,001000000208,PEN,162.34,BCPLPEPLXXX,PAGO PROVEEDOR 00208,OUR
10000209,BENEFICIARIO 00209,001000000209,PEN,163.07,BINPPEPLXXX,PAGO PROVEEDOR 00209,BEN
10000210,BENEFICIARIO 00210,001000000210,USD,163.80,SCBLPEPLXXX,PAGO PROVEEDOR 00210,SHA
10000211,BENEFICIARIO 00211,001000000211,PEN,164.53,CITIPEPLXXX,PAGO PROVEEDOR 00211,OUR
10000212,BENEFICIARIO 00212,001000000212,PEN,165.26,BCPLPEPLXXX,PAGO PROVEEDOR 00212,BEN
10000213,BENEFICIARIO 00213,001000000213,PEN,165.99,BINPPEPLXXX,PAGO PROVEEDOR 00213,SHA
10000214,BENEFICIARIO 00214,001000000214,PEN,166.72,SCBLPEPLXXX,PAGO PROVEEDOR 00214,OUR
10000215,BENEFICIARIO 00215,001000000215,USD,167.45,CITIPEPLXXX,PAGO PROVEEDOR 00215,BEN
10000216,BENEFICIARIO 00216,001000000216,PEN,168.18,BCPLPEPLXXX,PAGO PROVEEDOR 00216,SHA
10000217,BENEFICIARIO 00217,001000000217,PEN,168.91,BINPPEPLXXX,PAGO PROVEEDOR 00217,OUR
10000218,BENEFICIARIO 00218,001000000218,PEN,169.64,SCBLPEPLXXX,PAGO PROVEEDOR 00218,BEN
10000219,BENEFICIARIO 00219,001000000219,PEN,170.37,CITIPEPLXXX,PAGO PROVEEDOR 00219,SHA
10000220,BENEFICIARIO 00220,001000000220,USD,171.10,BCPLPEPLXXX,PAGO PROVEEDOR 00220,OUR
10000221,BENEFICIARIO 00221,001000000221,PEN,171.83,BINPPEPLXXX,PAGO PROVEEDOR 00221,BEN
10000222,BENEFICIARIO 00222,001000000222,PEN,172.56,SCBLPEPLXXX,PAGO PROVEEDOR 00222,SHA
10000223,BENEFICIARIO 00223,001000000223,PEN,173.29,CITIPEPLXXX,PAGO PROVEEDOR 00223,OUR
10000224,BENEFICIARIO 00224,001000000224,PEN,174.02,BCPLPEPLXXX,PAGO PROVEEDOR 00224,BEN
10000225,BENEFICIARIO 00225,001000000225,USD,174.75,BINPPEPLXXX,PAGO PROVEEDOR 00225,SHA
10000226,BENEFICIARIO 00226,001000000226,PEN,175.48,SCBLPEPLXXX,PAGO PROVEEDOR 00226,OUR
10000227,BENEFICIARIO 00227,001000000227,PEN,176.21,CITIPEPLXXX,PAGO PROVEEDOR 00227,BEN
