dni,nombre,cuenta,moneda,monto,bic,concepto,cargos
10000050,BENEFICIARIO 050 SAC,000000000050,USD,6975.00,BCPLPEPLXXX,PAGO PROVEEDOR 050,BEN
10000051,BENEFICIARIO 051 SAC,000000000051,PEN,7112.50,BCPLPEPLXXX,PAGO PROVEEDOR 051,SHA
10000052,BENEFICIARIO 052 SAC,000000000052,PEN,7250.00,BCPLPEPLXXX,PAGO PROVEEDOR 052,OUR
10000053,BENEFICIARIO 053 SAC,000000000053,PEN,7387.50,BCPLPEPLXXX,PAGO PROVEEDOR 053,BEN
10000054,BENEFICIARIO 054 SAC,000000000054,PEN,7525.00,BCPLPEPLXXX,PAGO PROVEEDOR 054,SHA
10000055,BENEFICIARIO 055 SAC,000000000055,USD,7662.50,BCPLPEPLXXX,PAGO PROVEEDOR 055,OUR
10000056,BENEFICIARIO 056 SAC,000000000056,PEN,7800.00,BCPLPEPLXXX,PAGO PROVEEDOR 056,BEN
10000057,BENEFICIARIO 057 SAC,000000000057,PEN,7937.50,BCPLPEPLXXX,PAGO PROVEEDOR 057,SHA
10000058,BENEFICIARIO 058 SAC,000000000058,PEN,8075.00,BCPLPEPLXXX,PAGO PROVEEDOR 058,OUR
10000059,BENEFICIARIO 059 SAC,000000000059,PEN,8212.50,BCPLPEPLXXX,PAGO PROVEEDOR 059,BEN
10000060,BENEFICIARIO 060 SAC,000000000060,USD,8350.00,BCPLPEPLXXX,PAGO PROVEEDOR 060,SHA
